location_name,year,Rate,measure_clean
Middle SDI,2017,13.10530895689161,Deaths
Middle SDI,2018,13.339552551849332,Deaths
Middle SDI,2019,13.572676430732757,Deaths
Middle SDI,2020,13.815125353248503,Deaths
Middle SDI,2021,14.736843874683448,Deaths
Middle SDI,2022,14.880310502080029,Deaths
Middle SDI,2023,15.412578769241604,Deaths
China,1990,470.2851703979483,DALYs
China,1991,473.1912418631072,DALYs
China,1992,474.46873191783595,DALYs
China,1993,472.45821937542917,DALYs
China,1994,470.52289715982664,DALYs
China,1995,470.27637657007296,DALYs
China,1996,472.07457890214886,DALYs
China,1997,469.72898579241934,DALYs
China,1998,465.4665624235997,DALYs
China,1999,458.5887437489175,DALYs
China,2000,452.38751339850626,DALYs
China,2001,443.2446765617949,DALYs
China,2002,425.1440526634856,DALYs
China,2003,407.9013196000317,DALYs
China,2004,389.0972709310995,DALYs
China,2005,375.1649797618873,DALYs
China,2006,360.0364582097205,DALYs
China,2007,345.88582258376664,DALYs
China,2008,327.3410528222487,DALYs
China,2009,311.562124490052,DALYs
China,2010,298.9272725352006,DALYs
China,2011,283.4955085747943,DALYs
China,2012,268.7516286829619,DALYs
China,2013,256.8042792280644,DALYs
China,2014,249.7479154414051,DALYs
China,2015,243.36926937688563,DALYs
China,2016,239.46400117077184,DALYs
China,2017,239.67077139525554,DALYs
China,2018,237.11541482668798,DALYs
China,2019,233.5760119103905,DALYs
China,2020,230.67768049070858,DALYs
China,2021,236.6427449771774,DALYs
China,2022,250.9096978376676,DALYs
China,2023,248.60978680638493,DALYs
Global,1990,558.8759693046662,DALYs
Global,1991,561.409277472797,DALYs
Global,1992,560.8987020463591,DALYs
Global,1993,562.542731290572,DALYs
Global,1994,562.8787241401571,DALYs
Global,1995,561.797847032374,DALYs
Global,1996,558.6317341704566,DALYs
Global,1997,552.1258955517092,DALYs
Global,1998,548.2785741337962,DALYs
Global,1999,545.2682422380642,DALYs
Global,2000,541.8080437362294,DALYs
Global,2001,536.7159539940956,DALYs
Global,2002,527.3824683802551,DALYs
Global,2003,517.6936226455427,DALYs
Global,2004,508.76515850481775,DALYs
Global,2005,499.55753648119105,DALYs
Global,2006,492.85514452355955,DALYs
Global,2007,489.4713532169194,DALYs
Global,2008,487.4023099063014,DALYs
Global,2009,483.96819743695653,DALYs
Global,2010,483.02622093295105,DALYs
Global,2011,481.9206589937611,DALYs
Global,2012,482.76798179893154,DALYs
Global,2013,489.52618046937914,DALYs
Global,2014,500.0679827584446,DALYs
Global,2015,511.0243135482858,DALYs
Global,2016,520.8028979487627,DALYs
Global,2017,531.117094224456,DALYs
Global,2018,541.8739511357446,DALYs
Global,2019,555.0032082246089,DALYs
Global,2020,567.1186971172186,DALYs
Global,2021,599.394229003243,DALYs
Global,2022,635.4921610010067,DALYs
Global,2023,664.2409945109762,DALYs
High SDI,1990,629.6628613811492,DALYs
High SDI,1991,630.2360159531784,DALYs
High SDI,1992,630.7988578864187,DALYs
High SDI,1993,632.5241875921444,DALYs
High SDI,1994,632.1268646724922,DALYs
High SDI,1995,628.3525822940558,DALYs
High SDI,1996,616.8603539756041,DALYs
High SDI,1997,601.3985121407997,DALYs
High SDI,1998,587.8207459448254,DALYs
High SDI,1999,576.9283085936917,DALYs
High SDI,2000,567.0691822939785,DALYs
High SDI,2001,555.5668990968223,DALYs
High SDI,2002,540.9313146712968,DALYs
High SDI,2003,529.1240537870685,DALYs
High SDI,2004,514.123272954651,DALYs
High SDI,2005,500.23114718297126,DALYs
High SDI,2006,484.1110080362469,DALYs
High SDI,2007,469.577992301539,DALYs
High SDI,2008,458.33998459047507,DALYs
High SDI,2009,443.76679433442325,DALYs
High SDI,2010,430.4859964756542,DALYs
High SDI,2011,418.80271576163034,DALYs
High SDI,2012,408.06887629908965,DALYs
High SDI,2013,400.5995519630103,DALYs
High SDI,2014,395.75801404601026,DALYs
High SDI,2015,393.8816235870142,DALYs
High SDI,2016,394.59997684892073,DALYs
High SDI,2017,393.07993013401466,DALYs
