location_name,year,age_name,Risk_Factor,val
China,2007,35-39 years,Tobacco use,0.127752721
China,2007,40-44 years,High BMI,0
China,2007,40-44 years,High alcohol use,0.014956724
China,2007,40-44 years,High fasting plasma glucose,0.047195183
China,2007,40-44 years,Low physical activity,0.011008302
China,2007,40-44 years,Tobacco use,0.130933411
China,2007,45-49 years,High BMI,0
China,2007,45-49 years,High alcohol use,0.012662802
China,2007,45-49 years,High fasting plasma glucose,0.055547753
China,2007,45-49 years,Low physical activity,0.011692009
China,2007,45-49 years,Tobacco use,0.130303805
China,2008,25-29 years,High BMI,0
China,2008,25-29 years,High alcohol use,0.009286544
China,2008,25-29 years,High fasting plasma glucose,0.023377115
China,2008,25-29 years,Low physical activity,0.011387901
China,2008,25-29 years,Tobacco use,0.127861406
China,2008,30-34 years,High BMI,0
China,2008,30-34 years,High alcohol use,0.012510177
China,2008,30-34 years,High fasting plasma glucose,0.030228211
China,2008,30-34 years,Low physical activity,0.011068747
China,2008,30-34 years,Tobacco use,0.128669371
China,2008,35-39 years,High BMI,0
China,2008,35-39 years,High alcohol use,0.012836427
China,2008,35-39 years,High fasting plasma glucose,0.038546712
China,2008,35-39 years,Low physical activity,0.010604176
China,2008,35-39 years,Tobacco use,0.128358303
China,2008,40-44 years,High BMI,0
China,2008,40-44 years,High alcohol use,0.015312686
China,2008,40-44 years,High fasting plasma glucose,0.046463655
China,2008,40-44 years,Low physical activity,0.011112659
China,2008,40-44 years,Tobacco use,0.131749581
China,2008,45-49 years,High BMI,0
China,2008,45-49 years,High alcohol use,0.012940621
China,2008,45-49 years,High fasting plasma glucose,0.054723556
China,2008,45-49 years,Low physical activity,0.011751509
China,2008,45-49 years,Tobacco use,0.130905652
China,2009,25-29 years,High BMI,0
China,2009,25-29 years,High alcohol use,0.009746467
China,2009,25-29 years,High fasting plasma glucose,0.022981627
China,2009,25-29 years,Low physical activity,0.011597986
China,2009,25-29 years,Tobacco use,0.128628129
China,2009,30-34 years,High BMI,0
China,2009,30-34 years,High alcohol use,0.012942906
China,2009,30-34 years,High fasting plasma glucose,0.029823136
China,2009,30-34 years,Low physical activity,0.011217745
China,2009,30-34 years,Tobacco use,0.129611295
China,2009,35-39 years,High BMI,0
China,2009,35-39 years,High alcohol use,0.013130659
China,2009,35-39 years,High fasting plasma glucose,0.037896024
China,2009,35-39 years,Low physical activity,0.010637308
China,2009,35-39 years,Tobacco use,0.129199683
China,2009,40-44 years,High BMI,0
China,2009,40-44 years,High alcohol use,0.015653469
China,2009,40-44 years,High fasting plasma glucose,0.045709299
China,2009,40-44 years,Low physical activity,0.01117469
China,2009,40-44 years,Tobacco use,0.132833794
China,2009,45-49 years,High BMI,0
China,2009,45-49 years,High alcohol use,0.013202638
China,2009,45-49 years,High fasting plasma glucose,0.053939545
China,2009,45-49 years,Low physical activity,0.011753167
China,2009,45-49 years,Tobacco use,0.131731405
China,2010,25-29 years,High BMI,0
China,2010,25-29 years,High alcohol use,0.010184134
China,2010,25-29 years,High fasting plasma glucose,0.022848882
China,2010,25-29 years,Low physical activity,0.011747556
China,2010,25-29 years,Tobacco use,0.129478379
China,2010,30-34 years,High BMI,0
China,2010,30-34 years,High alcohol use,0.01331315
China,2010,30-34 years,High fasting plasma glucose,0.029600978
China,2010,30-34 years,Low physical activity,0.011397475
China,2010,30-34 years,Tobacco use,0.130591659
China,2010,35-39 years,High BMI,0
China,2010,35-39 years,High alcohol use,0.013361842
China,2010,35-39 years,High fasting plasma glucose,0.037545924
China,2010,35-39 years,Low physical activity,0.010722944
China,2010,35-39 years,Tobacco use,0.130078604
China,2010,40-44 years,High BMI,0
China,2010,40-44 years,High alcohol use,0.01586942
China,2010,40-44 years,High fasting plasma glucose,0.045163714
China,2010,40-44 years,Low physical activity,0.011288664
China,2010,40-44 years,Tobacco use,0.133872936
China,2010,45-49 years,High BMI,0
China,2010,45-49 years,High alcohol use,0.013408332
China,2010,45-49 years,High fasting plasma glucose,0.05338105
China,2010,45-49 years,Low physical activity,0.01181228
China,2010,45-49 years,Tobacco use,0.1326165
China,2011,25-29 years,High BMI,0
China,2011,25-29 years,High alcohol use,0.010564681
China,2011,25-29 years,High fasting plasma glucose,0.02277653
China,2011,25-29 years,Low physical activity,0.011882217
China,2011,25-29 years,Tobacco use,0.130172563
China,2011,30-34 years,High BMI,0
China,2011,30-34 years,High alcohol use,0.013629297
China,2011,30-34 years,High fasting plasma glucose,0.02951959
China,2011,30-34 years,Low physical activity,0.011555872
China,2011,30-34 years,Tobacco use,0.131287794
China,2011,35-39 years,High BMI,0
China,2011,35-39 years,High alcohol use,0.013572243
China,2011,35-39 years,High fasting plasma glucose,0.037420697
China,2011,35-39 years,Low physical activity,0.01084688
China,2011,35-39 years,Tobacco use,0.130678318
China,2011,40-44 years,High BMI,0
China,2011,40-44 years,High alcohol use,0.016092975
China,2011,40-44 years,High fasting plasma glucose,0.044968127
China,2011,40-44 years,Low physical activity,0.011407718
China,2011,40-44 years,Tobacco use,0.134534625
China,2011,45-49 years,High BMI,0
China,2011,45-49 years,High alcohol use,0.013573459
China,2011,45-49 years,High fasting plasma glucose,0.053101456
China,2011,45-49 years,Low physical activity,0.011904371
China,2011,45-49 years,Tobacco use,0.133232468
China,2012,25-29 years,High BMI,0
China,2012,25-29 years,High alcohol use,0.010957607
China,2012,25-29 years,High fasting plasma glucose,0.022720416
China,2012,25-29 years,Low physical activity,0.011988601
China,2012,25-29 years,Tobacco use,0.130719234
China,2012,30-34 years,High BMI,0
China,2012,30-34 years,High alcohol use,0.013944584
China,2012,30-34 years,High fasting plasma glucose,0.029542359
China,2012,30-34 years,Low physical activity,0.011696655
China,2012,30-34 years,Tobacco use,0.131813551
China,2012,35-39 years,High BMI,0
China,2012,35-39 years,High alcohol use,0.013808352
China,2012,35-39 years,High fasting plasma glucose,0.037416518
China,2012,35-39 years,Low physical activity,0.010980937
China,2012,35-39 years,Tobacco use,0.131045091
China,2012,40-44 years,High BMI,0
China,2012,40-44 years,High alcohol use,0.016329416
China,2012,40-44 years,High fasting plasma glucose,0.044860082
China,2012,40-44 years,Low physical activity,0.011521322
China,2012,40-44 years,Tobacco use,0.13494841899999999
China,2012,45-49 years,High BMI,0
China,2012,45-49 years,High alcohol use,0.013736492
China,2012,45-49 years,High fasting plasma glucose,0.05291535
China,2012,45-49 years,Low physical activity,0.012013252
China,2012,45-49 years,Tobacco use,0.133687166
China,2013,25-29 years,High BMI,0
China,2013,25-29 years,High alcohol use,0.011355481
China,2013,25-29 years,High fasting plasma glucose,0.022772248
China,2013,25-29 years,Low physical activity,0.012091865
China,2013,25-29 years,Tobacco use,0.130876802
China,2013,30-34 years,High BMI,0
China,2013,30-34 years,High alcohol use,0.014233344
China,2013,30-34 years,High fasting plasma glucose,0.029559032
China,2013,30-34 years,Low physical activity,0.011834647
